词语	拼音	词性	英语	例句
资本	zīběn	n	capital	吴国栋：我们不仅要在国内融资，而且要充分利用国际资本，争取我们的股票在境外上市。##对外经济贸易大学中国资本[3.500.00%]运营研究中心主任冯鹏程认为，从价值链、营销曲线来看，中国企业追赶其他企业的难度会越来越大。
出资	chūzī	v	Contribution	今年11月20日，江山股份出资2.1亿元，收购泰国LADDA集团90%的股权，并在股权交割后择机增资，成为LADDA的绝对控股股东。##四、投资者出资情况。##在出资期限内，我们的资金可以一次到位。
跨国	kuàguó	a	transnational	李莎：一个大型的跨国集团，就要出现在世界东方！##全球战略型，是企业跨国经营发展到成熟阶段的最高标志。
战略	zhànlüè	n	strategy	走出去战略的规模虽然上去了，但是优质的、赚钱的项目并不多。##全球战略型，是企业跨国经营发展到成熟阶段的最高标志。
独资	dúzī	n	Owned	这些中国申请者主要来自麦当劳实现独资公司的区域。##对此,业内人士指出,美国在华合资、独资企业数以十万计。##WTO正式实施四年后，船舶检验行业将允许外商独资经营。
高端	gāoduān	n	High-end	“尤其是进入高端领域，中国企业将面对很多无形的贸易壁垒。##“具有世界水平的跨国公司最主要的特征就是要在所在行业中拥有话语权，要对国际市场的发展具有一定的主导权，要在国际产业链条中处于高端地位。
国际协作	guójìxiézuò	n	International Cooperation	两国关系提升为全面战略协作伙伴关系，双方坚定视彼此为本国外交优先方向，建立起完备的各领域交往机制，政治互信不断深化，务实合作成果丰硕，人文交流蓬勃开展，国际协作密切有效，为推动建设新型国际关系、构建人类命运共同体树立了典范。##根据WTO的定义,“全球卫生紧急事件”为可能对其他国家构成威胁,需要国际协作来加以应对“特殊情况”。
接洽	jiēqià	v	Contact	直接交易是买卖双方直接洽谈，股票也由买卖双方自行清算交割，在整个交易过程中不涉及任何中介的交易方式。##据了解，目前有多家风投机构正在和金夫人接洽，其中一家知名PE基金已和该公司达成注资意向，有望在近期获得注资。
跨国公司	kuàguógōngsī	n	transnational corporations	别忘了，现在是全球化的时代，是跨国公司越来越多的时代。##不过，跨国公司内部的文化差异是现在很热门的话题。
跨国经营	kuàguójīngyíng	n	Transnational operation	全球战略型，是企业跨国经营发展到成熟阶段的最高标志。##企业跨国经营的发展战略，如下：1、市场经营战略1）开拓阶段的特点。
跨国投资	kuàguótóuzī	v	Transnational investment	跨国投资包括,跨国投资的公司在全世界吸引跨国投资主要国家中，由于受生产力发展水平、劳动力、土地、资源价格、自然环境、产业成熟度、政局稳定性等多种因素决定，跨国投资对国际直接投资的吸引力有很大差别。##这一行业吸引了107项外资项目,将近占了2009年第四季度在美跨国投资项目总数的五分之一。
联营	liányíng	v	pool	B:有些零配件是我们的联营单位生产的，他们是专门从事这一行的。##年检中检查的企业投资情况，主要是指企业以股东身份向其他公司法人的投资，或以联营者的身份在联营企业法人中的出资。##福特:有些零配件是我们的联营单位生产的..好了.我们到生产车间了.咱们从装配线开始看.好吗?
全球化	quánqiúhuà	v	Globalization	全球化给中国带来了很多发展的机会。##金在旭：全球化不是一体化。
文化差异	wénhuàchāyì	n	Cultural difference	文化差异不会减少，只能越来越多。##王浩：因为没有处理好文化差异而失败的例子太多了。
自主研发	zìzhǔyánfā	v	Independent research	日前，湖南华菱线缆股份有限公司生产的风力电缆经湖南检验检疫局检验合格后，顺利装车起运，出口澳大利亚，标志着湖南华菱线缆股份有限公司自主研发的风力发电用耐扭曲软电缆成功服务于海外。##目前湖南华菱线缆股份有限公司已经成为能自主研发并生产包括额定电压8.7/10KV以下的风力发电机用耐扭曲软电缆和低烟无卤特种风力发电机用耐扭曲软电缆等国内为数不多的品种齐全的电缆厂家之一。
经营活动	jīngyínghuódòng	n	***	约翰·费耶维舍（JohnFayerweather）教授认为：“尽管人们可以给跨国经营做出一个十分复杂的定义，但它只有一个最基本的特征：它是涉及两个或更多国家的经营活动。##一般来说，跨国经营是指国内企业通过对外直接投资，在国外建立子公司或分支结构，并以此为基础所展开的跨国界的以赢利为目的的生产经营活动。
全球战略	quánqiúzhànlüè	n	***	全球战略型，是企业跨国经营发展到成熟阶段的最高标志。##6、全球战略型经济发达国家的大型跨国公司，为了以自己的优势称霸世界，采取全球性的发展战略，将企业的商品贸易、技术贸易、资本进出进行全球统筹，并根据不同的国际市场类型，采取多种发展方式，在世界范围内建立最佳的生产地区、销售地区和原材料供应基地。
世界500强	shìjiè500qiǎng	n	***	【具有世界水平的企业还很少】2012年，中国在世界500强上榜企业达到79家，比2011年增加了10家，成为上榜总数仅次于美国的国家。##通过这个平台，今年8月，世界500强企业博世集团正式落户四川。##大四下学期，在金森物流公司实习(世界500强企业)，主要负责亚洲的物流运输业务。
分散	fēnsàn	a	Dispersed	这种制度限制和分散了投资者的风险，也实现了投资者和经营者的分工：投资者承担有限的投资风险，取得相应的投资收益；##这就要求经营者要力争在进行资本经营决策时，必须同时考虑资本的增值和存在的风险，应该从企业的长远发展着想，企业经营者要尽量分散资本的经营风险，把的资本分散出去，同时吸收其他资本参股。
投入	tóurù	v	Investment	任何投资活动都是某种风险的资本投入，不存在无风险的投资和收益。##（三）混合型资本扩张，是指两个或两个以上相互间没有直接投入产出关系和技术经济联系的企业间所进行的产权交易法。
组合	zǔhé	v	combination	产品组合等。##即便是常规线路，也要不断地进行新的组合、新的包装。##这样，佣金价格的放开就将成为行业格局重新演变和组合的导火索。
模式	móshì	n	Pattern	这个模式在传销的众多名堂当中是比较典型的一种说法。##我有信心做这个上市直通车，就是因为我知道中国的公司，只要概念特别好、模式很好、有好的操盘手，华尔街是认同的，所以中国企业奔向华尔街，华尔街是张开双臂欢迎的！
配置	pèizhì	v	To configure	根据目前中国的实际情况，资本配置的方式是以市场为导向，政府有限干预的体制法。##一﹑从政府层面来说，是指资本运营是指资本的配置（重置）问题法。
注入	zhùrù	v	injection	“将铁矿石资产注入上市在前几年可能会是一个毫无置疑的颇大利好消息，而在如今铁矿石资产前景不确定的情况下，却进行注入上市，恐怕也与不理想的财报有关系。##用资本运作“救火”11月27日晚间，在武钢股份停牌近一个月后，武钢发布了将集团旗下铁矿石资产注入上市的150亿元定增方案。
产权交易	chǎnquánjiāoyì	n	Property transaction	根据产权流动的不同轨道可以将资本扩张分为以下三种类型：（一）横向资本扩张，是指交易双方属于同一产业或部门，产品相同或相似，为了实现规模经营而进行的产权交易法。##（三）混合型资本扩张，是指两个或两个以上相互间没有直接投入产出关系和技术经济联系的企业间所进行的产权交易法。
兼并	jiānbìng	v	merger	（2）兼并破产机制法。##兼并，是指通过企业股权或资本收购﹑转让，实现资本增值目标法。
募集	mùjí	v	Raise	瑞力投资，首期募集规模相当于70亿元人民币。##业内人士指出，上海瑞力新兴产业平行基金的成功募集，反映出国内外投资者持续看好中国新兴产业的未来发展和中国的经济转型，是上海外商投资股权投资企业试点的重要成果之一，将进一步促进上海聚集国内外私募股权基金，对上海建设国际性资产管理中心和推进上海国际金融中心建设都具有重要意义。
优化配置	yōuhuàpèizhì	n	Optimal allocation	资本运营，是指通过以货币化的资产为主要对象的购买﹑出售﹑转让﹑兼并﹑托管等活动，实现资源优化配置，从而达到利益最大化法。##这样有利于水利工作的有机结合和站段技术力量的优化配置。##这种形式是将原水利站职能及有关人员就近并入一个水利工程管理单位，按照精简、统一、效能的原则，进行优化配置，达到减人、减支、不减事的目的。
增至	zēngzhì	v	To	旅行社的自驾游业务占自驾游市场份额的比例年底增至5成。##据央行调查统计司最新数据，2002年到2011年，国内社会融资额由2万亿增至12.83万亿元（注：无特殊说明，单位均为人民币），而银行信贷占比却由91.9%降至58%。
资本结构	zīběnjiégòu	n	capital structure	从企业经营方式的角度来看，资本运营也有如下作用：1．资本运营可以优化企业的资本结构。##市场经济体制中的资本配置，是通过外部资本市场与内部资本结构来进行的法。
资本运营	zīběnyùnyíng	n	capital operation	5．资本运营可以给企业带来大量资金。##3．资本运营可以让企业获得先进生产技术和管理技术。
资本运作	zīběnyùnzuò	n	capital operation	资本运作又称资本经营。##但他们编造了很多的“谎言”，其中“资本运作”是他们拿来骗人的常见的说法。
配给	pèijǐ	v	***	（3）换股式分立，是指母公司将其在子公司所占有的股份分配给母公司的部分股东(不是全部母公司股东),交换其在母公司所占股份的分离行为法。##公司分立通常可分为：（1）标准式分立，是指母公司将其拥有的子公司股份，按母公司股东在母公司中的持股比例分配给现有的母公司股东，从而将子公司分离出来的行为；
把握	bǎwò	v	grasp	四、把握时机。##战略的执行需要把握好时机。
转换	zhuǎnhuàn	v	Transformation	（3）转换成本。##转换成本包括以下方面：重新培训自己的员工所需的成本；
监测	jiāncè	v	Monitor	对内部环境的监测需要一组指标，例如BSC方法。##包括对内外环境的监测和对组织姿态的调整两项内容。
理念	lǐniàn	n	Idea	整合：可从3个方面进行——理念、文化、价值观。##东方战略是中国第一家提出价值咨询理念，并在实践中遵循价值咨询理念和原则的管理顾问机构。
企业家	qǐyèjiā	n	Entrepreneur	战略的制定与执行更是企业家一项重要的工作，一个巨大的挑战。##企业有企业的危机，企业家也有企业家的危机。
认清	rènqīng	v	recognize	一、认清形势。##环境分析的主要任务是认清外部环境的发展趋势，并以此为背景来识别企业的内部结构与外部环境不相适应的部分，即找出战略管理的步骤问题。
顺应	shùnyìng	v	conform to	二、顺应趋势。##如果说，明确趋势需要水平的话，做到顺应趋势还需要勇气。
分析报告	fēnxībàogào	n	analysis report	2）负责向总经理汇报考核情况并提供分析报告供其参考；##所以现在相应采取的措施就是有一个比喻，我看到有一个外资行的分析报告评价中国开始经济放松，说悬崖已经勒马，站住了，现在要做的事情是往后退五六步，因为万一外部危机爆发，欧洲把外贸拖下来不是又把风刮下去了吗？
管控	guǎnkòng	v	Control	东方战略以战略咨询为核心，以组织咨询、集团管控、流程咨询、年度经营计划、人力资源、企业文化、营销、投融资咨询为主要支撑，为企业提供发展问题的解决方案，促进企业快速、健康、持续发展。##战略咨询公司以战略咨询为核心，以年度经营计划、集团管控、人力资源、流程、营销、企业文化、投融资等咨询为主要支撑，为企业解决发展问题为企业提供发展问题的解决方案，促进企业快速、健康、持续发展。
竞争力	jìngzhēnglì	n	Competitive power	收购提升竞争力了吗？##不管对于奥美还是被收购的公司来说，这个竞争力的围墙到底有多高呢？
企业文化	qǐyèwénhuà	n	corporate culture	企业文化如何融合执行？##三、以德倍增是百年企业文化的根本。
市场化	shìchǎnghuà	v	Marketization	随着市场化进程的加深，必然要求出台新外贸法。##所以，从某种意义上讲，基准利率是利率市场化机制形成的核心。##只要利率市场化，推出国债期货的条件已经具备了。
营销战略	yíngxiāozhànlüè	n	***	中创国发营销咨询业务主要有：营销战略制定、品牌营销、渠道关系管理。##营销战略的难点主要有：一、市场信息的准确把握，并有效判断市场未来变化形态；
传递	chuándì	v	transmit	而最适合在网上直接传递的货物是信息产品。##（6）服务传递对于已付了款的客户应将其订购的货物尽快地传递到他们的手中。
垃圾邮件	lājīyóujiàn	n	Spam	内容多了，会被读者视为垃圾邮件。##至于垃圾邮件，这确实是一件令人厌恶的事情。
网店	wǎngdiàn	n	Shop	“有实体连锁店的网店才能走得更远。##不是简单地从传统实体店向网店迁移。
网上商城	wǎngshàngshāngchéng	n	E-Shop	友谊网上商城除了作为实体店服务延伸外，联动模式将是接下来网上商城运营模式的方向。##B2CB2C=BusinesstoCustomerB2C模式是我国最早产生的电子商务模式，以8848网上商城正式运营为标志，如今的B2C电子商务网站非常的多，比较大型的有京东商城、哈妹网等。
物流	wùliú	n	logistics	但是，网上零售的仓储物流模式则完全不同。##而有些货物在本地，有些货物在异地，电子邮件将能在网络中进行物流的调配。
专柜	zhuānguì	n	Special counter	今年上半年，自己所在专柜的化妆品销售额反倒比去年下降20%，主要是受网店销售的冲击。##任伟光表示，公司的专区专柜在去年铺得比较猛，但今年推进速度放慢了，更多是将原来店铺进行升级改造。
电子签名	diànzǐqiānmíng	n	electronic signature	通俗点说，电子签名就是通过密码技术对电子文档的电子形式的签名，并非是书面签名的数字图像化，它类似于手写签名或印章，也可以说它就是电子印章。##电子签名商业模式分析按照实际使用量进行计费,头部客户贡献主要的营业收入。
电子认证	diànzǐrènzhèng	n	Electronic authentication	电子认证electronicauthentication。采用电子技术检验用户合法性的操作。##由全国30多家专业电子认证服务机构组成的联盟组织,致力于电子签名应用推广,网络诚信体系建设。
电子商务	diànzǐshāngwù	n	Electronic Commerce	C2CC2C=ConsumertoConsumerC2C同B2B、B2C一样，都是电子商务的几种模式之一。##电子商务是一个不断发展的概念。
供应链	gōngyìngliàn	n	Supply chain	而线上零售相对于传统零售来说，显然是供应链优化，效率提升的业态。##报告显示，电子商务改变了供应链的管理方式，令其从供应主导变成需求主导。
交易额	jiāoyìé	n	A turnover	淘宝系交易额破万亿的背后是网络零售开始真正影响整个社会的零售格局，各种新模式和新需求将被催生出来。##未来发展电子商务是趋势据中国电子商务研究中心预计，未来两年内我国网上零售市场交易额有望突破每年万亿元大关，约占全年社会商品零售总额5%以上。
交易平台	jiāoyìpíngtái	n	trading platform	这样一来，核心企业的交易平台如果想开展业务，就需要和全国大部分银行进行对接，以便满足不同地区客户需求，增加了系统开发投入和日常运行投入；##这是该行倾注多年之功，专门面向开展电子商务业务的核心企业或交易平台及上下游客户量身打造的电子化金融服务方案。
实时	shíshí	nt	real time	”目前，2013年北京网商年会的官方网站已经开通（http://www.eckey.cn），并通过新浪微博ID“@网商动力官方微博”实时发布最新会议信息，无论是“传统企业进电商”、“互联网品牌二次崛起”，还是“网络平台企业初创”，参会企业或人员均可以获得丰厚的收益，敬请关注并积极参会。##（2）咨询洽谈电子商务可借助非实时的电子邮件(E-mail)，新闻组（NewsGroup）和实时的讨论组(Chat)来了解市场和商品信息、洽谈交易事务，如有进一步的需求，还可用网上的白板会议(WhiteboardConference)来交流即时的图形信息。
网络营销	wǎngluòyíngxiāo	v	network marketing	艾瑞咨询集团总裁杨伟庆认为，中国互联网广告产业目前正处于互联网信息的新变革时代，网络营销产业已进入大数据下的精准营销时代。##笔者小马识途文化传播有限公司项目经理，提示营销工作者网络营销不能单做广告，广告一定要有公关传播的配合，即日常的口碑营销在选购决策阶段效果最为明显，很多企业反映自己广告的转化率差，何不查看下自己品牌的网络口碑。
网商	wǎngshāng	n	E-businessmen	记者了解到，2013年1月4日，即将在北京召开的“2013北京网商年会”，将是回答问题和揭示网商未来发展前景的良好契机，因此，本次大会被广泛誉为“网商淘金大会”。##苏州网策文化咨询有限公司成立后，也将依托上海网策“网商培训第一品牌”的成熟体系，为苏州和吴江培育电子商务专业人才，并提供电商顾问等服务。
支付平台	zhīfùpíngtái	n	payment platform	广东省厅扫黑办已与公安快查系统和113家第三方支付平台打通接口,实现逾50家银行全天候快速查询冻结功能。##作为更先进的生物识别技术,“刷脸”支付相比于以往二维码等支付方式承载了更多隐私信息,支付平台也因此面临着比以往更为严格的考验——即对于用户隐私安全的保护问题。
重构	chònggòu	v	***	电子商务创造的惊人数据，真切地刺激到传统零售和以线下零售为主的品牌商的神经，推动他们重构自己的供应链，但这才刚刚开始。##零售业重构进行时网购一旦占到社会消费品零售总额5%，就会越过临界点，呈现爆发之势，并开始产生全局影响，成为改变中国零售业格局的起点。
版权	bǎnquán	n	copyright	2：又叫版权。##你难道不知道，这是受版权保护的？
寄送	jìsòng	v	Send	那在这种情况下，寄送样品应当被认定为销售还是许诺销售？##笔者认为，只要寄送样品发生在签订合同之前，都应当被认定为许诺销售。
认定	rèndìng	v	cognizance	最后他们认定如果把这个图案放在我们的产品上，那会侵犯他们的版权。##那在这种情况下，寄送样品应当被认定为销售还是许诺销售？
专利	zhuānlì	n	patent	李强:专利价格的三倍。##提到专利，你会联想到什么？
财产权利	cáichǎnquánlì	n	Property rights	二、人身权利与财产权利（一）人身权利按照内容组成，知识产权由人身权利和财产权利两部分构成，也称之为精神权利和经济权利。##知识产权书籍（一）著作权著作权又称版权，是指自然人、法人或者其他组织对文学、艺术和科学作品依法享有的财产权利和精神权利的总称。
产权	chǎnquán	n	Property right	知识产权的实质是把人类的智力成果作为财产来看待。##知识产权会议二、对象是人的智力的创造，属于“智力成果权”。
独创性	dúchuàngxìng	n	Originality	Bruce:更有独创性？##这一次要搞出更有独创性的设计。
法律责任	fǎlǜzérèn	n	Legal responsibility	如有侵犯他人著作权，由设计者承担所有法律责任。##哪怕我们设计出来的东西与他们的图案接近，我们也会负法律责任的，他们会立即起诉我们。
防伪	fángwěi	v	Security	并且新增了防伪措施，制定了新版票据凭证的印制管理办法。##2.到征收分局「税务登记」窗口缴交税务登记证(正、副本)、发票购领簿、金税卡及税控IC卡(适用防伪税控企业)等税务证件;
抢注	qiǎngzhù	v	Registered	对此，业内人士指出，衍生品仿制、盗版和商标抢注已成为现阶段动漫知识产权保护的三大难题。##2001年，中国著名家电企业海信公司进行海外品牌扩张，到欧洲注册商标“HiSense”的时候，发现了自己的商标已经被一家名为×××公司司抢注。##更早些时候，湖南三辰公司的自主动漫形象“蓝猫”被某企业抢注为饮料类商标，使得“蓝猫”饮料的推广无法在全国铺开而一度中断了该卡通形象在饮料领域的发展。
商标权	shāngbiāoquán	n	Trademark right	如今专利权、著作权、商标权等侵犯知识产权的行为越来越多。##中国商标权的获得必须履行商标注册程序，而且实行申请在先原则。
使用权	shǐyòngquán	n	Use right	李强:但这远比专利使用权贵。##当然，也存在不侵权的例外，比如先使用权和科研目的的使用等。
维权	wéiquán	j	Rights	无奈接受还是选择维权？##首先是程序复杂、周期长、维权成本高；
许诺	xǔnuò	v	Promise	“许诺销售”行为发生在实际销售之前，行为目的是为了实际销售。##“许诺销售”一词来源于TRIPs协定第28条所述的“offeringforsale”。
知识产权	zhīshichǎnquán	n	intellectual property right	知识产权的实质是把人类的智力成果作为财产来看待。##知识产权会议二、对象是人的智力的创造，属于“智力成果权”。
著作权	zhùzuòquán	n	Copyright	未侵犯他人的著作权。##（十七）应当由著作权人享有的其他权利。
专利保护	zhuānlìbǎohù	n	patent protection	专利保护创新专利对创新的保护是一个完整的体系设计。##专利保护采取司法和行政执法“两条途径、平行运作、司法保障”的保护模式。
专利法	zhuānlìfǎ	n	patent law	它包括了专利法律法规的制定，国家政策的引导以及专利创造、运用、保护和管理各个环节的综合作用。##根据中国专利法，发明创造有三种类型，发明、实用新型和外观设计。
专利权	zhuānlìquán	n	patent right	我们制定这些法律，就是为了保护专利权人的利益。##加强对专利权的保护，营造一个尊重权利，鼓励创新的专利保护环境同样不可缺少。
专利人	zhuānlìrén	n	Patentee	在这种情况下,所有专利人都有权“单独实施”“以普通许可方式许可他人”使用该专利,并且收取的使用费应该在共有人之前分配。##我和我老师孩子共同申请一个专利,专利受理书下来了那我还是专利人吗?
专有	zhuānyǒu	v	Proper	王永:我们想买你们公司的专有技术。##李强:那么你也知道，购买专有技术比购买专利使用权要好。
未经	wèijīng	v	***	也就是说，未经您的许可，任何个人不能以生产经营为目的，使用你的专利技术。##未经专利权人许可，实施其专利即侵犯其专利权，引起纠纷的，由当事人协商解决；
专利申请	zhuānlìshēnqǐng	n	***	”洪昶告诉记者，专利申请主要来自三个方面：企业、高校和科研院所、个人。##2012年1月至8月，国家知识产权局受理发明专利申请达36.3万余件，其中国内发明专利申请为28.7万件，同比增长24.1％。
成员	chéngyuán	n	member	Snow:你知道WTO有多少成员国么？##2012年8月22日，俄罗斯正式成为世贸组织第156个成员。
外资	wàizī	n	foreign capital	另外，要抓住加入世贸组织的机会，提高利用外资水平。##入世将使得我国港口业开放程度进一步加大，与过去相比外资进入将更为方便。
机制	jīzhì	n	mechanism	他近年来多方奔走，一直为全球多边机制呼吁。##近来，FTA、TPP、RCEP等新的双边和区域多边机制如雨后春笋，成为全球多边机制寒冬里的区域亮点。
保护措施	bǎohùcuòshī	n	protective measures	我们是专业的搬运公司而且我们有特殊的保护措施。##最近从国家经贸委获悉，到2001年为止，共有30多个国家对中国提起反倾销和保护措施案件。##宝山集团认为，美国取消钢材保护措施会影响到其他国家，从而使全球钢铁贸易保护的势头得到遏制。
参股	cāngǔ	v	Shares	另外丹麦马士基集团、美国海陆、招商局集团在国内许多港口也有参股。##2.外资购并或参股的领域有可能从集装箱码头行业向港口的其他细分行业扩展。
成员国	chéngyuánguó	n	member state	Snow:你知道WTO有多少成员国么？##另外，还有29个国家的成员国资格正在进行讨论；
单边贸易	dānbiānmàoyì	n	Unilateral trade	高峰表示,可以看出,美国的单边贸易保护主义举措,伤害的不仅是中美两国的企业和消费者的利益,更是全球产业链和供应链的安全。##单边贸易保护主义和极限施压行为危及世界经济。
道路运输	dàolùyùnshū	n	road transport	这类公司主要利用我国对外开放的加速纷纷在航运、空运、道路运输、以及铁路运输的货物运输方面争取业务，并以其为基础发展物流服务。##近年来，随着我国对外开放的加速，外资凭借资金实力综合性介入我国交运行业、以立体化的运输网络开展多层次的服务成为热点，集中体现在道路运输、航运、空运相结合的现代综合性物流服务。
多边贸易	duōbiānmàoyì	n	multilateral trade	另一方面，双边贸易机制和区域贸易的蓬勃发展也正对多边贸易机制造成冲击。##多哈回合谈判已成为多边贸易谈判历史上耗时最长的回合。
关贸总协定	guānmàozǒngxiédìng	j	GATT	1996年1月1日，它正式取代关贸总协定临时机构。##中国是世贸组织的前身--关贸总协定的创始缔约国。
国际惯例	guójìguànlì	n	International practice	由于汽车工业在我国国民经济中的重要地位，可以预见在我国加入WTO后的头几年，相关管理方式在逐步与国际惯例接轨的同时，仍将保持一些行政审批色彩，不太可能全面放开。##这是国际惯例。##事实上，最近我们在国际贸易中恢复或采用了国际惯例和习惯做法。
降税	jiàngshuì	v	Tax reduction	到2005年为止，经过连续几次大幅降税，中国已基本完成了加入世界贸易组织时承诺的降税义务。##此次涉及降税的共900多个税目：汽车关税降到30％，汽车零部件关税降到l3％；
进口税	jìnkǒushuì	n	Import duties	2002年3月，美国政府决定大幅度提高进口钢材关税，对部分进口钢材征收8％—30％的进口税，期限为3年，以保护美国钢铁工业的利益。##各国一般都规定，除某些特殊商品外，一般商品可自由进出保税区，存入保税区的商品可以暂时不缴进口税，如果再出口也不必缴纳出口税，但若运入海关管辖区内销售，则需在离开保税区时缴纳进口税。
控股	kònggǔ	v	Holding	除了设立新的港口及相关企业外，通过购并手段参股或控股已有的港口企业是外资涉足我国港口业的首要选择。##允许外商设立合营企业从事船舶代理服务，允许外商控股的合营企业从事货物装卸和集装箱场站服务。
零关税	língguānshuì	n	Zero tariff	数码相机及其零部件、家用摄像机、家具、玩具、游戏机等将成为零关税产品。##据中国加入WTO的承诺，从2005年1月1日起，数码相机及零部件开始实行零关税，这意味着国內数码相机市场已经完全开放。##进口海关总署2005年37号公告所列的享受零关税的台湾地区水果（共计15种），均为鲜（包括冷藏）水果，需要符合如下运输要求：（一）直接从台湾本岛、澎湖、金门或马祖运输到大陆关境口岸。
贸易谈判	màoyìtánpàn	n	Trade negotiation	多哈回合谈判已成为多边贸易谈判历史上耗时最长的回合。##作为世界三大贸易组织之一的世贸组织，其基本职能是制订和监督执行多边贸易规则、组织多边贸易谈判、解决成员间的贸易争端。
配额	pèi’é	n	quota	这一年，世界纺织品服装配额将如期取消，这将使中国纺织行业面向一个更大的世界市场，取得新的发展良机。##汽车进口配额在现有基础上每年增加15%直到2005年完全取消等各项因素后，预计全国汽车保有量将从2000年底的1700万辆增加到2010年4000-4500万辆的水平。
契机	qìjī	n	chance	中央经济工作会议指出，要以入世为契机，扩大对外开放。##以入世为契机进一步扩大对外开放12月11日，我国正式成为世界贸易组织成员。
入世	rùshì	v	Entry into WTO	入世对我国的经济发展很有好处。##至此，中国入世的法律程序全部完成。
世界贸易组织	shìjièmàoyìzǔzhī	ni	World Trade Organization	今天，我国正式加入世界贸易组织(WTO)，成为其第143个成员。##张平：李红，知道吗，中国已经正式加入世界贸易组织了。
世贸	shìmào	j	World Trade Organization	2012年8月22日，俄罗斯正式成为世贸组织第156个成员。##我们要以加入世贸组织为新的起点，努力提高开放水平。
世贸组织	shìmàozǔzhī	v	World Trade Organization	2012年8月22日，俄罗斯正式成为世贸组织第156个成员。##我们要以加入世贸组织为新的起点，努力提高开放水平。
外商	wàishāng	n	Foreign businessman	外商船舶可以使用我国港口。##WTO正式实施四年后，船舶检验行业将允许外商独资经营。
外资并购	wàizībìnggòu	n	Foreign merger	这类企业也可能成为外资并购锁定的目标。##3.外资并购的对象选择以下几类商业上市公司有望成为外资并购对象。
制裁	zhìcái	v	Sanction	对违反澳反倾销制度的海外制造商实行更严厉的制裁措施。##美国参议院上周五(11月30日)通过扩大对伊朗的制裁，加大向伊朗核计划施加经济压力。##不过，相比于占国内光伏产品出口70%份额、逾200亿美元贸易额的欧洲市场，印度市场对于国内光伏企业的“制裁”已算不上最坏消息。
WTO	WTO	n	***	如何拯救WTO？##加入WTO后，中国的汽车市场将真正成为世界汽车整体市场的一个重要部分。
贸易规则	màoyìguīzé	n	***	作为世界三大贸易组织之一的世贸组织，其基本职能是制订和监督执行多边贸易规则、组织多边贸易谈判、解决成员间的贸易争端。
损害	sǔnhài	v	damage	这种倾销方式是偶然发生的、一般无占领国外市场、排挤竞争者之目的，而且因为持续的时间较短，不至于打乱进口国的市场秩序、损害其工业。##澳制造业从业人员100万，全国商业研发费用的25%、出口的30%均来自制造业，澳不允许海外制造商通过不公平贸易损害澳就业机会，上述改革措施将确保一个公平的竞争环境，为制造业和其他部门发展提供有力支撑。
议会	yìhuì	n	parliament	11月27日，澳议会通过了相关修正案，包括如下改革：1、建立新的反倾销上诉程序；##11月27日，澳议会通过了相关修正案，包括如下改革：1、建立新的反倾销上诉程序；
遭遇	zāoyù	n	encounter	该市场一旦失落，将使中国彩电企业发展遭遇重大困难，特别是在2003年这个对于中国彩电企业至关重要的年度。##而频繁遭遇的反倾销调查，则成为了主基调中的最强音。
驳回	bóhuí	v	Reject	祸不单行，2010年3月，欧盟法院传来消息：奥康等5家中国鞋企的诉讼请求被驳回。##相关坚持不放弃奥康6年抗辩之路2010年，奥康诉讼请求被欧盟普通法院驳回，对此，奥康董事长王振滔只说了三个字，“接着打！
低价	dījià	n	low price	倾销的这种低价销售的行为没有遵循市场正常供求关系和基本价格规律，倾销产品的价格也不能客观地反映其经济价值。##一般分为以下几类：偶然性倾销是指某一商品的生产商为避免存货的过量积压，于短期内向海外市场大量低价销售该商品。
垄断	lǒngduàn	v	MONOPOLY	景顺长城资源垄断股票型基金持有180.11万股，占比2.22%;##其目的或是为了销售过剩产品，或是为了维持生产规模，或是为了赚取外汇，但通常是为了排挤乃至挤垮他国相同或类似产品生产者，以实现垄断市场、提高价格、获取超额垄断利润。
歧视	qíshì	v	discrimination	倾销是指国际贸易中的低价销售从倾销的定义和性质可以看出，倾销仅指发生在一国（出口国）与另一国（进口国）贸易中的价格歧视，因而，一国国内贸易中的低价销售不属于这里所说的“倾销”，也就不是反倾销法律规范的对象。##其基本原则是通过实施市场开放、非歧视和公平贸易等原则，来实现世界贸易自由化的目标。##无论年龄、种族、性别、性倾向、肤色、信仰、宗教、婚姻、残疾等，均不得有歧视、侮辱、诽谤等行为。
倾销	qīngxiāo	v	dumping	3、引入与现行不同的临时反倾销税；##”在倾销案件中，Sim也帮助了一些中国和越南制鞋商。
撤诉	chèsù	v	Withdrawal	欧盟官员曾两次亲赴温州调查从中国企业被诉反倾销到欧盟撤诉，历时整整13个月，其中欧盟委员会官员曾两次亲赴温州当地企业核查。##2011年10月历时一年的集体诉讼以法院驳回起诉而宣告胜诉，成为第一起在请求撤诉阶段胜诉的成功案例。
反规避	fǎnguībì	v	anti-circumvention	7、允许澳产业界、主管部长提出反规避质询。
反倾销	fǎnqīngxiāo	v	Anti-dumping	3、引入与现行不同的临时反倾销税；##2、新的反倾销机构应位于澳主要城市，靠近产业聚集地；
反倾销税	fǎnqīngxiāoshuì	n	Anti-dumping duty	3、引入与现行不同的临时反倾销税；##单独估税增加了降低反倾销税的可能性。
